date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:20	110/110	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Jun%202024%2009:10:19%20GMT	http://alex:codelyoko@testbasik.local/robots.txt		(from )
11:10:20	84751/84751	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:10:20%20GMT	http://alex:codelyoko@testbasik.local/	C:/My%20Web%20Sites/TEST/testbasik.local/index.html	(from )
11:10:20	16484/16484	---MCZ	200	added ('OK')	text/css	etag:W/%2265d48a0a-4064%22	http://testbasik.local/wp-includes/blocks/navigation/style.min.css?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/blocks/navigation/style.min380f.css	(from http://alex:codelyoko@testbasik.local/)
11:10:21	1614/1614	---MC-	200	added ('OK')	application/rss+xml	etag:%223b875df5cb8d7d1d780b710fe66afe7d%22	http://testbasik.local/feed/	C:/My%20Web%20Sites/TEST/testbasik.local/feed/index.html	(from http://alex:codelyoko@testbasik.local/)
11:10:21	7049/7049	---MCZ	200	added ('OK')	text/css	etag:W/%2265c66d5e-1b89%22	http://testbasik.local/wp-includes/blocks/image/style.min.css?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/blocks/image/style.min380f.css	(from http://alex:codelyoko@testbasik.local/)
11:10:21	1620/1620	---MC-	200	added ('OK')	application/rss+xml	etag:%223b875df5cb8d7d1d780b710fe66afe7d%22	http://testbasik.local/comments/feed/	C:/My%20Web%20Sites/TEST/testbasik.local/comments/feed/index.html	(from http://alex:codelyoko@testbasik.local/)
11:10:21	798/798	---MCZ	200	added ('OK')	text/xml	date:Mon,%2024%20Jun%202024%2009:10:21%20GMT	http://testbasik.local/xmlrpc.php?rsd	C:/My%20Web%20Sites/TEST/testbasik.local/xmlrpc0db0.php	(from http://alex:codelyoko@testbasik.local/)
11:10:22	27160/27160	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2265ba444c-6a18%22	http://testbasik.local/wp-includes/js/dist/vendor/wp-polyfill-importmap.min.js?ver=1.8.2	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/js/dist/vendor/wp-polyfill-importmap.minef6d.js	(from http://alex:codelyoko@testbasik.local/)
11:10:22	3300/3300	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266152080-ce4%22	http://testbasik.local/wp-includes/blocks/navigation/view.min.js?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/blocks/navigation/view.min380f.js	(from http://alex:codelyoko@testbasik.local/)
11:10:22	35085/35085	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226633f81b-890d%22	http://testbasik.local/wp-includes/js/dist/interactivity.min.js?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/js/dist/interactivity.min380f.js	(from http://alex:codelyoko@testbasik.local/)
11:10:22	184456/184456	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:10:22%20GMT	http://testbasik.local/wp-json/	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/index.html	(from http://alex:codelyoko@testbasik.local/)
11:10:40	105184/105184	---M--	200	added ('OK')	application/font-woff2	etag:%2265130ade-19ae0%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from http://alex:codelyoko@testbasik.local/)
11:10:44	132564/132564	---M--	200	added ('OK')	application/font-woff2	etag:%2265130ade-205d4%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	(from http://alex:codelyoko@testbasik.local/)
11:10:45	59931/59931	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:10:45%20GMT	http://testbasik.local/sample-page/	C:/My%20Web%20Sites/TEST/testbasik.local/sample-page/index.html	(from http://alex:codelyoko@testbasik.local/)
11:10:46	146060/146060	---M--	200	added ('OK')	application/font-woff2	etag:%2265130ade-23a8c%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from http://alex:codelyoko@testbasik.local/)
11:10:56	66482/66482	---M--	200	added ('OK')	image/webp	etag:%22651d9aa2-103b2%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp	(from http://alex:codelyoko@testbasik.local/)
11:10:58	77016/77016	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:10:57%20GMT	http://testbasik.local/hello-world/	C:/My%20Web%20Sites/TEST/testbasik.local/hello-world/index.html	(from http://alex:codelyoko@testbasik.local/)
11:11:00	64008/64008	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:10:58%20GMT	http://testbasik.local/author/alex/	C:/My%20Web%20Sites/TEST/testbasik.local/author/alex/index.html	(from http://alex:codelyoko@testbasik.local/)
11:11:01	64068/64068	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:11:00%20GMT	http://testbasik.local/category/uncategorized/	C:/My%20Web%20Sites/TEST/testbasik.local/category/uncategorized/index.html	(from http://alex:codelyoko@testbasik.local/)
11:11:02	56950/56950	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jun%202024%2009:11:02%20GMT	http://alex:codelyoko@testbasik.local/A,m	C:/My%20Web%20Sites/TEST/testbasik.local/A,m.d.delayed	(from http://testbasik.local/wp-includes/js/dist/vendor/wp-polyfill-importmap.min.js?ver=1.8.2)
11:11:03	56950/56950	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jun%202024%2009:11:02%20GMT	http://alex:codelyoko@testbasik.local/A	C:/My%20Web%20Sites/TEST/testbasik.local/A	(from http://testbasik.local/wp-includes/js/dist/vendor/wp-polyfill-importmap.min.js?ver=1.8.2)
11:11:07	126244/126244	---M--	200	added ('OK')	image/webp	etag:%22651d9aa2-1ed24%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/images/windows.webp	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/images/windows.webp	(from http://alex:codelyoko@testbasik.local/)
11:11:10	199724/199724	---M--	200	added ('OK')	image/webp	etag:%22651d9aa2-30c2c%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp	(from http://alex:codelyoko@testbasik.local/)
11:11:10	326628/326628	---M--	200	added ('OK')	application/font-woff2	etag:%2265130ade-4fbe4%22	http://testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	C:/My%20Web%20Sites/TEST/testbasik.local/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from http://alex:codelyoko@testbasik.local/)
11:11:11	715/715	---MC-	200	added ('OK')	application/rss+xml	etag:%223b875df5cb8d7d1d780b710fe66afe7d%22	http://testbasik.local/sample-page/feed/	C:/My%20Web%20Sites/TEST/testbasik.local/sample-page/feed/index.html	(from http://testbasik.local/sample-page/)
11:11:11	2058/2058	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:11:11%20GMT	http://testbasik.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftestbasik.local%2Fsample-page%2F	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/oembed/1.0/embedfd94.json	(from http://testbasik.local/sample-page/)
11:11:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jun%202024%2009:11:11%20GMT	http://testbasik.local/?p=2	C:/My%20Web%20Sites/TEST/testbasik.local/index905b.html	(from http://testbasik.local/sample-page/)
11:11:12	2218/2218	---MCZ	200	added ('OK')	text/xml	date:Mon,%2024%20Jun%202024%2009:11:11%20GMT	http://testbasik.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftestbasik.local%2Fsample-page%2F&format=xml	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/oembed/1.0/embed12c4	(from http://testbasik.local/sample-page/)
11:11:12	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2009:11:12%20GMT	http://testbasik.local/wp-admin/	C:/My%20Web%20Sites/TEST/testbasik.local/wp-admin/index.html	(from http://testbasik.local/sample-page/)
11:11:12	3503/3503	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5d5d8-daf%22	http://testbasik.local/wp-includes/css/dist/block-library/common.min.css?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/css/dist/block-library/common.min380f.css	(from http://testbasik.local/hello-world/)
11:11:12	1616/1616	---MC-	200	added ('OK')	application/rss+xml	etag:%223b875df5cb8d7d1d780b710fe66afe7d%22	http://testbasik.local/hello-world/feed/	C:/My%20Web%20Sites/TEST/testbasik.local/hello-world/feed/index.html	(from http://testbasik.local/hello-world/)
11:11:12	1712/1712	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:11:12%20GMT	http://testbasik.local/wp-json/wp/v2/posts/1	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/wp/v2/posts/1.json	(from http://testbasik.local/hello-world/)
11:11:12	2061/2061	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:11:12%20GMT	http://testbasik.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftestbasik.local%2Fhello-world%2F	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/oembed/1.0/embedbe42.json	(from http://testbasik.local/hello-world/)
11:11:12	2221/2221	---MCZ	200	added ('OK')	text/xml	date:Mon,%2024%20Jun%202024%2009:11:12%20GMT	http://testbasik.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ftestbasik.local%2Fhello-world%2F&format=xml	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/oembed/1.0/embedce89	(from http://testbasik.local/hello-world/)
11:11:13	2981/2981	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22625095f6-ba5%22	http://testbasik.local/wp-includes/js/comment-reply.min.js?ver=6.5.4	C:/My%20Web%20Sites/TEST/testbasik.local/wp-includes/js/comment-reply.min380f.js	(from http://testbasik.local/hello-world/)
11:11:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jun%202024%2009:11:13%20GMT	http://testbasik.local/?p=1	C:/My%20Web%20Sites/TEST/testbasik.local/indexcff1.html	(from http://testbasik.local/hello-world/)
11:11:13	581/581	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:11:13%20GMT	http://testbasik.local/wp-json/wp/v2/users/1	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/wp/v2/users/1.json	(from http://testbasik.local/author/alex/)
11:11:14	77061/77061	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2009:11:13%20GMT	http://testbasik.local/hello-world/?replytocom=1	C:/My%20Web%20Sites/TEST/testbasik.local/hello-world/index6809.html	(from http://testbasik.local/hello-world/)
11:11:14	1639/1639	---MC-	200	added ('OK')	application/rss+xml	etag:%223b875df5cb8d7d1d780b710fe66afe7d%22	http://testbasik.local/author/alex/feed/	C:/My%20Web%20Sites/TEST/testbasik.local/author/alex/feed/index.html	(from http://testbasik.local/author/alex/)
11:11:14	606/606	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Jun%202024%2009:11:14%20GMT	http://testbasik.local/wp-json/wp/v2/categories/1	C:/My%20Web%20Sites/TEST/testbasik.local/wp-json/wp/v2/categories/1.json	(from http://testbasik.local/category/uncategorized/)
